Crop,N,P,K,Temperature,Humidity,pH,Rainfall
Rice,80,47,40,23.7,82.2,6.4,233.1
Maize,76,48,20,22.8,65.3,6.3,83.5
Cotton,117,46,19,24.0,80.0,6.8,80.2
Banana,100,81,50,27.4,80.2,6.0,105.0
Apple,24,136,200,22.6,92.4,5.9,113.0
Mango,21,27,30,31.3,50.3,5.7,94.9
Grapes,24,133,201,23.0,81.7,6.0,69.5
Orange,19,16,10,22.9,92.0,7.0,110.7
Pomegranate,18,20,40,22.4,89.9,6.4,107.6
Chickpea,39,68,79,18.9,16.7,7.4,79.7
Kidneybeans,22,67,20,19.9,21.3,5.7,107.4
Lentil,16,68,19,24.9,64.1,7.0,46.6
Coffee,103,29,30,25.7,57.6,6.8,157.8
Coconut,24,15,31,27.4,95.0,6.0,172.0
Pigeonpeas,20,69,20,28.9,47.2,5.7,154.3
